Count  14657
Boundary 5 45, 3628; 45, 3649; 55, 3649; 55, 3628; 45, 3628; 
Boundary 5 67, 201; 67, 220; 107, 220; 107, 201; 67, 201; 
Boundary 9 166, 2211; 166, 3321; 173, 3321; 173, 3147; 195, 3147; 195, 3321; 330, 3321; 330, 2211; 166, 2211; 
Boundary 5 210, 2129; 210, 2137; 295, 2137; 295, 2129; 210, 2129; 
Boundary 9 295, 431; 295, 1012; 354, 1012; 354, 728; 595, 728; 595, 469; 953, 469; 953, 431; 295, 431; 
Boundary 5 354, 1012; 354, 1623; 595, 1623; 595, 1012; 354, 1012; 
Boundary 9 354, 2190; 354, 2344; 595, 2344; 595, 2190; 469, 2190; 469, 2239; 411, 2239; 411, 2190; 354, 2190; 
Boundary 5 411, 1727; 411, 2129; 469, 2129; 469, 1727; 411, 1727; 
Boundary 5 411, 2137; 411, 2190; 469, 2190; 469, 2137; 411, 2137; 
Boundary 5 595, 1623; 595, 2129; 711, 2129; 711, 1623; 595, 1623; 
Boundary 5 595, 2137; 595, 2190; 711, 2190; 711, 2137; 595, 2137; 
Boundary 5 711, 1218; 711, 1623; 863, 1623; 863, 1218; 711, 1218; 
Boundary 5 711, 2190; 711, 2210; 863, 2210; 863, 2190; 711, 2190; 
Boundary 7 842, 506; 842, 728; 863, 728; 863, 740; 953, 740; 953, 506; 842, 506; 
Boundary 5 953, 469; 953, 506; 1133, 506; 1133, 469; 953, 469; 
Boundary 7 953, 740; 953, 1012; 1133, 1012; 1133, 776; 986, 776; 986, 740; 953, 740; 
Boundary 5 986, 592; 986, 740; 1133, 740; 1133, 592; 986, 592; 
Boundary 13 1133, 1012; 1133, 1155; 1295, 1155; 1295, 469; 1170, 469; 1170, 506; 1199, 506; 1199, 592; 1293, 592; 1293, 776; 1170, 776; 1170, 1012; 1133, 1012; 
Boundary 5 1170, 592; 1170, 740; 1199, 740; 1199, 592; 1170, 592; 
Boundary 7 1562, 1623; 1562, 2716; 2352, 2716; 2352, 1846; 3411, 1846; 3411, 1623; 1562, 1623; 
Boundary 5 2053, 900; 2053, 1336; 2596, 1336; 2596, 900; 2053, 900; 
Boundary 5 2417, 3974605; 2417, 3976783; 3715, 3976783; 3715, 3974605; 2417, 3974605; 
Boundary 5 2601, 1235496; 2601, 1237329; 8811, 1237329; 8811, 1235496; 2601, 1235496; 
Boundary 5 2714, 3321; 2714, 4060; 2847, 4060; 2847, 3321; 2714, 3321; 
Boundary 5 2905, 124; 2905, 184; 2935, 184; 2935, 124; 2905, 124; 
Boundary 5 3411, 1379; 3411, 1623; 3508, 1623; 3508, 1379; 3411, 1379; 
Boundary 5 3411, 1846; 3411, 1965; 3508, 1965; 3508, 1846; 3411, 1846; 
Boundary 5 3502, 974686; 3502, 977415; 4060, 977415; 4060, 974686; 3502, 974686; 
Boundary 5 3508, 1149; 3508, 1379; 3533, 1379; 3533, 1149; 3508, 1149; 
Boundary 5 3508, 1623; 3508, 1846; 3533, 1846; 3533, 1623; 3508, 1623; 
Boundary 5 3508, 1965; 3508, 2330; 3533, 2330; 3533, 1965; 3508, 1965; 
Boundary 5 3533, 1379; 3533, 1623; 4328, 1623; 4328, 1379; 3533, 1379; 
Boundary 5 3533, 1846; 3533, 1965; 4328, 1965; 4328, 1846; 3533, 1846; 
Boundary 5 3981, 6976; 3981, 7070; 4551, 7070; 4551, 6976; 3981, 6976; 
